n,depth,max_height,best_error,expression
7,0,12,3.960990597240421e-05,(53/85)
7,1,12,4.7793785249439225e-06,(((-2/5) * sqrt(17)) + (25/11))
7,2,12,4.9212781294549763e-08,(((9/5) * sqrt((((-10/11) * sqrt(3)) + (11/5)))) + (-4/5))
11,0,12,1.6308438660073143e-05,(53/63)
11,1,12,1.208051186607495e-05,(((5/6) * sqrt(6)) + (-6/5))
11,2,12,5.45511974481272e-08,(((36/11) * sqrt((((6/11) * sqrt(30)) + (-15/7)))) + (-13/6))
13,0,12,3.935898654328085e-05,(85/96)
13,1,12,2.760103652299506e-07,(((-11/12) * sqrt(2)) + (24/11))
13,2,12,1.0270436223702717e-07,(((24/7) * sqrt((((4/5) * sqrt(2)) + (-1/4)))) + (-7/3))
7,0,16,8.02048221526519e-06,(154/247)
7,1,16,2.2128763005335728e-06,(((5/9) * sqrt(10)) + (-17/15))
7,2,16,9.75333857011762e-08,(((-11/6) * sqrt((((5/16) * sqrt(2)) + (2/11)))) + (29/14))
11,0,16,1.6308438660073143e-05,(53/63)
11,1,16,4.777079919415783e-06,(((10/11) * sqrt(3)) + (-11/15))
11,2,16,1.2811927740941089e-08,(((43/12) * sqrt((((5/6) * sqrt(11)) + (-25/13)))) + (-22/9))
13,0,16,6.529412869382689e-06,(201/227)
13,1,16,2.760103652299506e-07,(((-11/12) * sqrt(2)) + (24/11))
13,2,16,9.414427259990533e-08,(((22/7) * sqrt((((9/16) * sqrt(23)) + (-29/16)))) + (-29/14))
7,0,24,4.174044880955741e-06,(207/332)
7,1,24,4.671820211799016e-07,(((5/19) * sqrt(17)) + (-6/13))
7,2,24,3.966389228171607e-08,(((17/13) * sqrt((((-5/16) * sqrt(21)) + (37/18)))) + (-9/22))
11,0,24,1.265691877239128e-05,(461/548)
11,1,24,1.021621043317822e-08,(((-2/11) * sqrt(17)) + (35/22))
11,2,24,8.880231328056709e-09,(((9/11) * sqrt((((39/20) * sqrt(2)) + (-23/12)))) + (1/11))
13,0,24,1.480198664416399e-06,(487/550)
13,1,24,1.514599848873033e-07,(((11/21) * sqrt(22)) + (-11/7))
13,2,24,7.857666406430042e-09,(((43/13) * sqrt((((-2/5) * sqrt(15)) + (56/23)))) + (-49/22))
7,0,32,8.677351194252836e-07,(568/911)
7,1,32,3.8632090526569136e-08,(((-10/21) * sqrt(3)) + (42/29))
7,2,32,1.2507234470326978e-08,(((3/4) * sqrt((((-2/17) * sqrt(19)) + (25/22)))) + (1/32))
11,0,32,2.588776155665329e-07,(832/989)
11,1,32,1.021621043317822e-08,(((-2/11) * sqrt(17)) + (35/22))
11,2,32,1.021621043317822e-08,(((-2/11) * sqrt(17)) + (35/22))
13,0,32,8.598036755902427e-07,(688/777)
13,1,32,5.1090311758983376e-08,(((51/32) * sqrt(3)) + (-15/8))
13,2,32,1.7010978292653082e-08,(((27/13) * sqrt((((5/8) * sqrt(10)) + (-12/11)))) + (-31/29))
7,0,48,1.3102717255630836e-07,(929/1490)
7,1,48,3.8632090526569136e-08,(((-10/21) * sqrt(3)) + (42/29))
7,2,48,1.5154499877212402e-10,(((29/13) * sqrt((((62/45) * sqrt(2)) + (-53/40)))) + (-33/29))
11,0,48,2.588776155665329e-07,(832/989)
11,1,48,1.021621043317822e-08,(((-2/11) * sqrt(17)) + (35/22))
11,2,48,7.030349080672238e-09,(((18/7) * sqrt((((30/41) * sqrt(2)) + (-6/31)))) + (-44/29))
13,0,48,1.1005411415521139e-07,(1175/1327)
13,1,48,1.1672821820241096e-08,(((14/37) * sqrt(29)) + (-53/46))
13,2,48,1.1672821820241096e-08,(((14/37) * sqrt(29)) + (-53/46))
7,0,8,0.0005389821866023,(38/61)
7,1,8,3.95829773002232e-05,(((2/7) * sqrt(26)) + (-5/6))
7,2,8,1.142244696605843e-06,(((3/5) * sqrt((((-3/7) * sqrt(5)) + (8/5)))) + (1/7))
11,0,8,1.6308438660073143e-05,(53/63)
11,1,8,1.208051186607495e-05,(((5/6) * sqrt(6)) + (-6/5))
11,2,8,5.734573268467713e-07,(((-9/5) * sqrt((((-1/8) * sqrt(15)) + (4/3)))) + (5/2))
13,0,8,0.0002101240138656,(54/61)
13,1,8,2.1878912414230456e-05,(((2/7) * sqrt(26)) + (-4/7))
13,2,8,1.0270436223702717e-07,(((24/7) * sqrt((((4/5) * sqrt(2)) + (-1/4)))) + (-7/3))
