n,height,depth,best_error
7,32,0,8.677351194252836e-07
7,64,0,5.754853393824533e-08
7,32,1,3.863209052656913e-08
7,64,1,3.8042710648333866e-08
7,32,2,1.2507234470326978e-08
7,64,2,4.355381610920972e-10
7,32,3,2.5087520949540476e-10
7,64,3,4.355381610920972e-10
7,32,4,2.5087520949540476e-10
7,64,4,4.355381610920972e-10
11,32,0,2.588776155665329e-07
11,64,0,8.507033966154154e-10
11,32,1,1.0216210433178219e-08
11,64,1,8.507033966154154e-10
11,32,2,1.0216210433178219e-08
11,64,2,8.507033966154154e-10
11,32,3,5.101743472124554e-10
11,64,3,8.507033966154154e-10
11,32,4,5.101743472124554e-10
11,64,4,8.507033966154154e-10
13,32,0,8.598036755902427e-07
13,64,0,1.09584330165724e-07
13,32,1,5.1090311758983376e-08
13,64,1,1.1672821820241097e-08
13,32,2,1.701097829265308e-08
13,64,2,1.0691231344672758e-08
13,32,3,5.643315148518013e-09
13,64,3,1.0691231344672758e-08
13,32,4,5.643315148518013e-09
13,64,4,5.9197897694929225e-09
